Gene_Hugo_Symbol,Entrez_Gene_Id,is_common
HIST3H2A,92815,True
LXN,56925,True
CNKSR2,22866,True
GSDMD,79792,True
AKR1C1,1645,True
C3orf62,375341,True
CRISPLD2,83716,True
SLC33A1,9197,True
STK17B,9262,True
RP5-966M1.6,0,True
MAS1L,116511,True
CDC37L1,55664,True
KRT10,3858,True
CYHR1,50626,True
TNFAIP8L2,79626,True
PFDN2,5202,True
TCP1,6950,True
ALG9,79796,True
CYBA,1535,True
GINS1,9837,True
GPX3,2878,True
IPO9,55705,True
COX19,90639,True
LMF1,64788,True
GDE1,51573,True
LSM14B,149986,True
TLE2,7089,True
EIF4EBP3,8637,True
LRP2BP,55805,True
PELO,53918,True
CDIPT,10423,True
C19orf44,84167,True
PABPN1,8106,True
ZWINT,11130,True
DYNLL1,8655,True
NRXN3,9369,True
FYTTD1,84248,True
CAPRIN1,4076,True
AOC3,8639,True
KIFC3,3801,True
DOCK11,139818,True
TMEM231,79583,True
DNAH17,8632,True
DCHS1,8642,True
ZFYVE19,84936,True
SLC5A8,160728,True
WDR53,348793,True
NLN,57486,True
TBC1D31,93594,True
G6PC2,57818,True
ZNF597,146434,True
RNF114,55905,True
SFRP2,6423,True
PNMA2,10687,True
C1orf158,93190,True
HENMT1,113802,True
STX16,8675,True
BFAR,51283,True
SHROOM3,57619,True
NUP107,57122,True
HS6ST1,9394,True
BRWD3,254065,True
FGF11,2256,True
CCDC138,165055,True
FAM193B,54540,True
BATF,10538,True
AGFG2,3268,True
TVP23B,51030,True
BCL6,604,True
DNAJC3,5611,True
ITGB6,3694,True
CEACAM21,90273,True
ETV6,2120,True
C1RL,51279,True
CCDC181,57821,True
GPN3,51184,True
RAP1GAP,5909,True
MAGED2,10916,True
C1orf85,112770,True
JRKL,8690,True
NMUR1,10316,True
SPATA18,132671,True
SLC17A3,10786,True
NTPCR,84284,True
CBWD3,55871,True
TLDC2,140711,True
IFNA5,3442,True
GNAI2,2771,True
MNDA,4332,True
RP11-347C12.3,0,True
CLEC6A,93978,True
FCGR2A,2212,True
ZNF491,126069,True
SEP15,0,True
GMFG,9535,True
MAGEH1,28986,True
GMFB,2764,True
AC068987.1,0,True
SLC7A2,6542,True
FAM83G,644815,True
CCNA2,890,True
PSMC1,5700,True
TGIF1,7050,True
C18orf21,83608,True
TXNDC15,79770,True
IPO5,3843,True
C8B,732,True
DGKD,8527,True
TMPO,7112,True
LY86,9450,True
MAD2L1,4085,True
TOMM70A,9868,True
MRI1,84245,True
ARAP1,116985,True
VDAC3,7419,True
RBM42,79171,True
ATP8B2,57198,True
MMADHC,27249,True
SIK3,23387,True
GOLIM4,27333,True
FLJ20306,0,True
ZAR1L,646799,True
TSHZ2,128553,True
ADAM11,4185,True
SNX18,112574,True
KIF17,57576,True
IL7,3574,True
RBPMS2,348093,True
AGTR2,186,True
PLA2G4D,283748,True
MTDH,92140,True
MT-CYB,4519,True
TRIP6,7205,True
CYSLTR1,10800,True
SH3BGRL,6451,True
TAF15,8148,True
NMU,10874,True
AC079354.1,0,True
DNAJA3,9093,True
KAT5,10524,True
CPNE9,151835,True
CHORDC1,26973,True
RIOK1,83732,True
OGFOD1,55239,True
CSNK1G2,1455,True
GNA14,9630,True
SYT14,255928,True
CCDC68,80323,True
ZNF564,163050,True
ANKRD6,22881,True
NDUFS3,4722,True
EFCAB4B,84766,True
STRN,6801,True
SCARF2,91179,True
C5orf22,55322,True
FBXO45,200933,True
ZNF16,7564,True
AMIGO1,57463,True
SOX11,6664,True
STX16-NPEPL1,0,True
ESPN,83715,True
LAPTM4A,9741,True
KCNK3,3777,True
PDE2A,5138,True
TTLL11,158135,True
FBXO38,81545,True
ANKMY1,51281,True
GTF2IRD1,9569,True
BIRC6,57448,True
SEC22A,26984,True
ZC3H15,55854,True
DHCR24,1718,True
C1orf220,400798,True
GLG1,2734,True
DKKL1,27120,True
AK3,50808,True
HEATR2,54919,True
PRKX,5613,True
PARD6A,50855,True
ANKRD18B,441459,True
GKN2,200504,True
RABL2B,11158,True
PFN4,375189,True
HDAC2,3066,True
TMEM182,130827,True
ARNT,405,True
CHDH,55349,True
PRRG4,79056,True
UVRAG,7405,True
C16orf96,342346,True
DYNC2H1,79659,True
C17orf53,78995,True
IST1,9798,True
SLC39A10,57181,True
BUB1B,701,True
GABRR1,2569,True
LCAT,3931,True
AKR1C3,8644,True
DAPK3,1613,True
ZP2,7783,True
SETDB1,9869,True
AEBP2,121536,True
ABTB2,25841,True
RP11-77K12.7,0,True
IL20RB,53833,True
UBQLN4,56893,True
LHCGR,3973,True
ZFYVE9,9372,True
AGPAT4,56895,True
PSME1,5720,True
ATG5,9474,True
H2AFV,94239,True
KARS,3735,True
ANKRD2,26287,True
NFIB,4781,True
SGCZ,137868,True
SRC,6714,True
EIF4EBP2,1979,True
EPHA7,2045,True
BANK1,55024,True
RNASEL,6041,True
FAM84A,151354,True
CEP128,145508,True
RPP21,79897,True
CCDC104,112942,True
SFMBT2,57713,True
IGSF1,3547,True
FAM189B,10712,True
SLC36A1,206358,True
CHI3L2,1117,True
