Gene_Hugo_Symbol,Entrez_Gene_Id
HS3ST4,9951
ZDHHC2,51201
OR5P2,120065
RALBP1,10928
PRRC2B,84726
NKX3-2,579
MMP7,4316
MAT1A,4143
POTEM,641455
DIS3,22894
SLC29A3,55315
USH2A,7399
ITPRIPL1,150771
TMCC3,57458
HECTD3,79654
TBC1D28,254272
ACN9,57001
SMAD2,4087
ID4,3400
SP6,80320
KLHDC8A,55220
TATDN2,9797
SCPEP1,59342
KIAA1211,57482
MESP1,55897
SYCP2,10388
TSC2,7249
MAPK8,5599
TEX26,122046
HDAC9,9734
ZNF829,374899
NRN1,51299
ZNF697,90874
NR2F6,2063
FAIM3,9214
PRKCA,5578
TEAD1,7003
OR1G1,8390
ZBTB5,9925
KIAA0754,643314
XPO7,23039
PTGS1,5742
MMAA,166785
WNT4,54361
CPT1A,1374
SLC28A2,9153
TBC1D14,57533
KLK12,43849
SLC35C2,51006
FABP5,2171
ATRAID,51374
UBE2L3,7332
TRMT2B,79979
MAMSTR,284358
CCDC113,29070
MPV17L,255027
PRKD3,23683
LECT2,3950
TSPYL4,23270
RPS27A,6233
AVPI1,60370
ATP6V1D,51382
MAFG,4097
XPA,7507
B4GALNT2,124872
DMRTC1,63947
TRIM44,54765
CATSPERB,79820
SFT2D2,375035
FAM27E1,0
CDR2,1039
PRR12,57479
FBP2,8789
AL031666.2,0
TCEAL6,158931
MTMR8,55613
OTOS,150677
LYPLA2,11313
PABPC1L2B,340529
CGB,1082
HFM1,164045
LYAR,55646
TCP11L1,55346
TASP1,55617
C1orf180,0
CTC-429P9.4,0
FUT3,2525
ZHX2,22882
PIP4K2B,8396
PIK3R3,8503
ARNT2,9915
ALCAM,214
GRXCR1,389207
IWS1,55677
IMP3,55272
AC131097.4,0
OSMR,9180
FAM222B,55731
FASN,2194
TMEM211,255349
KHDC1L,100129128
KRTAP9-1,728318
CACNA1A,773
ITGA2B,3674
OPN3,23596
SYNPO2,171024
MPP4,58538
PTCHD2,57540
HPCA,3208
NEU1,4758
LCE2D,353141
DIAPH2,1730
F2R,2149
COX7B,1349
SAP30,8819
RFFL,117584
MEIOB,64735
RP11-683L23.1,0
FBLL1,0
PTTG2,10744
MED12L,116931
SCGB1C1,147199
CNST,163882
CTAG2,30848
MAGEA12,4111
VIMP,55829
CPSF4L,642843
GNAS,2778
CCR8,1237
EHMT1,79813
C17orf80,55028
NEK1,4750
NAGS,162417
PRPS1,5631
FBXW12,285231
CEACAM1,634
TMEM178B,100507421
NAT8,9027
