Gene_Hugo_Symbol,Entrez_Gene_Id
HIST3H2A,92815
LXN,56925
CNKSR2,22866
GSDMD,79792
AKR1C1,1645
C3orf62,375341
CRISPLD2,83716
SLC33A1,9197
STK17B,9262
RP5-966M1.6,0
MAS1L,116511
CDC37L1,55664
KRT10,3858
CYHR1,50626
TNFAIP8L2,79626
PFDN2,5202
TCP1,6950
ALG9,79796
CYBA,1535
GINS1,9837
GPX3,2878
IPO9,55705
COX19,90639
LMF1,64788
GDE1,51573
LSM14B,149986
TLE2,7089
EIF4EBP3,8637
LRP2BP,55805
PELO,53918
CDIPT,10423
C19orf44,84167
PABPN1,8106
ZWINT,11130
DYNLL1,8655
NRXN3,9369
FYTTD1,84248
CAPRIN1,4076
AOC3,8639
KIFC3,3801
DOCK11,139818
TMEM231,79583
DNAH17,8632
DCHS1,8642
ZFYVE19,84936
HS3ST4,9951
SLC5A8,160728
WDR53,348793
NLN,57486
TBC1D31,93594
G6PC2,57818
ZNF597,146434
RNF114,55905
SFRP2,6423
PNMA2,10687
C1orf158,93190
HENMT1,113802
STX16,8675
BFAR,51283
SHROOM3,57619
NUP107,57122
HS6ST1,9394
BRWD3,254065
FGF11,2256
CCDC138,165055
FAM193B,54540
BATF,10538
AGFG2,3268
TVP23B,51030
BCL6,604
DNAJC3,5611
ITGB6,3694
CEACAM21,90273
ETV6,2120
C1RL,51279
CCDC181,57821
GPN3,51184
RAP1GAP,5909
MAGED2,10916
C1orf85,112770
JRKL,8690
NMUR1,10316
SPATA18,132671
SLC17A3,10786
NTPCR,84284
CBWD3,55871
TLDC2,140711
IFNA5,3442
GNAI2,2771
MNDA,4332
RP11-347C12.3,0
CLEC6A,93978
FCGR2A,2212
ZNF491,126069
SEP15,0
GMFG,9535
MAGEH1,28986
GMFB,2764
AC068987.1,0
SLC7A2,6542
FAM83G,644815
CCNA2,890
PSMC1,5700
TGIF1,7050
C18orf21,83608
TXNDC15,79770
IPO5,3843
C8B,732
DGKD,8527
TMPO,7112
LY86,9450
MAD2L1,4085
TOMM70A,9868
MRI1,84245
ARAP1,116985
VDAC3,7419
RBM42,79171
ATP8B2,57198
MMADHC,27249
SIK3,23387
GOLIM4,27333
FLJ20306,0
ZAR1L,646799
TSHZ2,128553
ADAM11,4185
SNX18,112574
KIF17,57576
IL7,3574
RBPMS2,348093
AGTR2,186
PLA2G4D,283748
MTDH,92140
MT-CYB,4519
TRIP6,7205
CYSLTR1,10800
SH3BGRL,6451
TAF15,8148
NMU,10874
AC079354.1,0
DNAJA3,9093
KAT5,10524
CPNE9,151835
CHORDC1,26973
RIOK1,83732
OGFOD1,55239
CSNK1G2,1455
GNA14,9630
SYT14,255928
CCDC68,80323
ZNF564,163050
ANKRD6,22881
NDUFS3,4722
EFCAB4B,84766
STRN,6801
SCARF2,91179
C5orf22,55322
FBXO45,200933
ZNF16,7564
AMIGO1,57463
SOX11,6664
STX16-NPEPL1,0
ESPN,83715
LAPTM4A,9741
KCNK3,3777
PDE2A,5138
TTLL11,158135
FBXO38,81545
ANKMY1,51281
GTF2IRD1,9569
BIRC6,57448
SEC22A,26984
ZC3H15,55854
DHCR24,1718
ZDHHC2,51201
C1orf220,400798
GLG1,2734
DKKL1,27120
AK3,50808
HEATR2,54919
PRKX,5613
PARD6A,50855
ANKRD18B,441459
GKN2,200504
RABL2B,11158
PFN4,375189
HDAC2,3066
TMEM182,130827
ARNT,405
OR5P2,120065
CHDH,55349
PRRG4,79056
UVRAG,7405
C16orf96,342346
DYNC2H1,79659
C17orf53,78995
IST1,9798
SLC39A10,57181
BUB1B,701
GABRR1,2569
LCAT,3931
AKR1C3,8644
DAPK3,1613
ZP2,7783
SETDB1,9869
AEBP2,121536
ABTB2,25841
RP11-77K12.7,0
IL20RB,53833
UBQLN4,56893
LHCGR,3973
ZFYVE9,9372
AGPAT4,56895
PSME1,5720
ATG5,9474
H2AFV,94239
KARS,3735
ANKRD2,26287
NFIB,4781
SGCZ,137868
SRC,6714
EIF4EBP2,1979
EPHA7,2045
BANK1,55024
RNASEL,6041
FAM84A,151354
CEP128,145508
RPP21,79897
CCDC104,112942
SFMBT2,57713
IGSF1,3547
FAM189B,10712
SLC36A1,206358
CHI3L2,1117
DPYSL2,1808
FNDC1,84624
LGALS2,3957
FAM179B,23116
SPAG4,6676
C3orf58,205428
TNC,3371
KCTD15,79047
CARD11,84433
POGLUT1,56983
ETS2,2114
SIVA1,10572
C8orf4,56892
C3orf27,23434
CXADR,1525
MIB1,57534
ELOVL6,79071
ADAMTS10,81794
MOSPD2,158747
SELENBP1,8991
RSPH9,221421
PIGU,128869
ZNF649,65251
NOSTRIN,115677
XKR8,55113
RCC1,1104
MANF,7873
IFNAR1,3454
ABCA6,23460
CDKN1C,1028
C19orf59,199675
AKAP11,11215
MRPS5,64969
CTD-2535L24.2,0
CAMP,820
SMARCD2,6603
SLC39A12,221074
CD1E,913
ACR,49
SYCE3,644186
C12orf49,79794
PLEKHA5,54477
PRMT8,56341
SLC35D2,11046
MCAM,4162
EIF2B1,1967
LRRC8C,84230
IRF8,3394
CKLF,51192
FANCB,2187
SPP1,6696
GPR50,9248
CERS5,91012
MKI67,4288
IRAK1,3654
MARCH3,115123
CD55,1604
TMEM63C,57156
SSSCA1,10534
ATF3,467
CDH15,1013
NDUFA12,55967
MARK4,57787
KIAA1107,23285
TSFM,10102
TBC1D23,55773
DHFR,1719
MAPK10,5602
PTP4A3,11156
MBTPS2,51360
PUS1,80324
DDX27,55661
B3GNT1,11041
C4A,720
C17orf103,256302
PIK3R4,30849
NOMO3,408050
BMPR2,659
AC090186.1,0
SMIM13,221710
NIPAL4,348938
EPHX4,253152
LNX2,222484
CTD-2583A14.10,0
GADL1,339896
ACAT2,39
ULBP3,79465
AGPAT3,56894
ABCC1,4363
CHCHD2,51142
ANO5,203859
RALBP1,10928
HERPUD2,64224
ZNF596,169270
MRPL54,116541
DMXL1,1657
ZBTB8A,653121
NFXL1,152518
CTU2,348180
NPDC1,56654
PPP3R1,5534
FAT2,2196
AMMECR1L,83607
ZFHX2,85446
RSRC1,51319
UBE2J1,51465
PSMA5,5686
CXorf56,63932
RRP15,51018
IL32,9235
RAD51D,5892
KLF17,128209
C18orf54,162681
RPUSD4,84881
MRPS7,51081
PRRC2B,84726
LGR4,55366
ANO7,50636
CCDC107,203260
C10orf112,0
MRPS31,10240
NLGN3,54413
TNFSF13,8741
RPS17,6218
HSDL2,84263
PSPN,5623
NKX6-1,4825
ST3GAL2,6483
TBC1D4,9882
RHBDD3,25807
MTR,4548
CHRM2,1129
RPS10-NUDT3,100529239
LSMEM1,286006
TULP4,56995
LENG8,114823
PFDN4,5203
LPAR2,9170
MRPS16,51021
CASP3,836
FAM102B,284611
ENPP2,5168
RHBDF2,79651
VTN,7448
KIF5B,3799
ST6GALNAC5,81849
