Gene_Hugo_Symbol,Entrez_Gene_Id,r_value_pearson
HIST3H2A,92815,0.010398534580493113
LIN7B,64130,0.10931300371692464
LXN,56925,-0.07122138604098166
CNKSR2,22866,-0.010463207301235206
SCML1,6322,-0.12255635276175521
AC024592.12,0,-0.1958947294869855
GSDMD,79792,0.18725713692716683
AKR1C1,1645,0.10572392181655957
C3orf62,375341,0.3695001454085851
CRISPLD2,83716,0.38872252518128847
DOCK5,80005,-0.2512978545317218
SLC33A1,9197,0.13244390569390352
GLI1,2735,0.1585789970192122
STK17B,9262,0.2725131203669697
RP5-966M1.6,0,0.24537293600944346
VPS52,6293,-0.030734670252134194
HAGHL,84264,0.2799049313122258
MAS1L,116511,0.08553107723593872
CDC37L1,55664,-0.19103085374626624
KRT10,3858,-0.04384717721672308
AEN,64782,0.061052247279638296
CYHR1,50626,0.23396175265552416
VWA1,64856,-0.10363207994659263
EXOSC9,5393,0.22785331226503427
TNFAIP8L2,79626,0.11739475716726704
PFDN2,5202,0.007777885058459954
TCP1,6950,-0.06662905660985141
ALG9,79796,0.08918513327313472
RPS15A,6210,-0.09951928407442681
PMEL,6490,0.08042681840268281
SFMBT1,51460,-0.09946722197366101
CYBA,1535,0.010334220615241016
GINS1,9837,-0.003370497403776436
GPX3,2878,0.19674166826413642
IPO9,55705,-0.05835977855824661
SHKBP1,92799,-0.03380746260078191
ARHGAP40,343578,0.08082559841047944
ENO3,2027,0.19654911048892196
COX19,90639,0.3728418229942937
LMF1,64788,0.24708945050489522
S100P,6286,-0.10573744924696817
RDH14,57665,0.29180247655353975
GDE1,51573,0.21744519857357972
LSM14B,149986,-0.25159339416207327
TLE2,7089,-0.17869395749152708
ACOT8,10005,0.2016015821625726
EIF4EBP3,8637,0.1533964713351283
LRP2BP,55805,0.15347992921499312
PELO,53918,0.15808851605384847
CDIPT,10423,0.09528290116744588
C19orf44,84167,0.29623018356118247
PABPN1,8106,0.1712319638455571
NFKBIB,4793,0.07232442360902236
CELF6,60677,-0.032552371427789134
ZWINT,11130,-0.024985264497650088
DYNLL1,8655,-0.02336333974831368
NRXN3,9369,0.1350082301056115
FYTTD1,84248,0.11250028953379687
CAPRIN1,4076,0.04389127822003723
AOC3,8639,-0.018595508657607424
KIFC3,3801,0.16474747329118752
DOCK11,139818,-0.16162242109490077
NENF,29937,0.014183908240100018
TMEM231,79583,0.05283055058345647
DNAH17,8632,-0.11093738249386688
DCHS1,8642,-0.10625074398041988
ZFYVE19,84936,0.076402869921076
RBMY1F,159163,-0.0034848281442558804
NTRK1,4914,-0.024871192693892527
CCDC62,84660,0.06967373609019649
HS3ST4,9951,-0.04749500610132401
CDH9,1007,0.028832464341111932
SLC5A8,160728,0.2603980616135305
WDR53,348793,-0.07023186626670594
NLN,57486,0.04332583415941847
TBC1D31,93594,0.015497532696454035
G6PC2,57818,0.20503812597459525
NOXRED1,122945,0.07304652159178404
ZNF597,146434,0.19049514878603227
RNF114,55905,0.3130952453050179
JOSD2,126119,0.22106892986019072
SFRP2,6423,0.18131293232022025
PNMA2,10687,0.057048557555529955
CDH10,1008,0.19599008819635663
C1orf158,93190,0.22697975775403081
GLRA1,2741,-0.10188176279553585
HENMT1,113802,0.160462901646229
STX16,8675,0.21113209582665318
PTX3,5806,0.6196691668630709
BFAR,51283,0.22643418811397004
MEP1B,4225,0.11384092171189002
SHROOM3,57619,0.0722939954216742
NUP107,57122,0.22399942055372327
OR1N2,138882,-0.019628179615397034
HS6ST1,9394,0.19036338690281368
BRWD3,254065,0.175181391250549
FGF11,2256,0.08847500381473408
CCDC138,165055,-0.12556793129892194
FAM193B,54540,0.31928874536517926
BATF,10538,-0.10724365070387575
CTD-2545G14.7,0,-0.04147753061647277
COL4A2,1284,0.06109901381883405
AGFG2,3268,-0.12180992199479312
TVP23B,51030,-0.06554341525204913
FBXO42,54455,-0.00958742490082451
NBEAL1,65065,0.42314972683474694
BCL6,604,-0.08794730390164111
DNAJC3,5611,0.13564208396269667
CABP5,56344,0.03405117213207367
C1orf233,643988,-0.16380660242781786
ADH6,130,-0.08701850886591113
VPS13B,157680,-0.1129205951881451
ZMYM3,9203,-0.05485059504287539
SEMA3D,223117,0.056355810983022295
ITGB6,3694,0.031952507541362724
RBM44,375316,0.05083020592360075
CEACAM21,90273,0.21876359652929497
ETV6,2120,-0.10456337093716875
C1RL,51279,0.16430741490382994
CCDC181,57821,0.03386958079817991
GPN3,51184,-0.0410657790132124
RAP1GAP,5909,0.05101488574280699
MAGED2,10916,0.14852360665887443
C1orf85,112770,-0.1524349588426643
AC018867.2,0,-0.03166112212889557
JRKL,8690,0.3523097643240658
BHLHE40,8553,0.29158794430200335
NMUR1,10316,0.13536098286428608
SPATA18,132671,0.04895807370799601
OOSP1,0,-0.028963479689327505
SLC17A3,10786,0.008433351633842762
NTPCR,84284,-0.11905306062394924
CBWD3,55871,0.38504397171959415
TLDC2,140711,0.22549690495354122
C14orf119,55017,-0.2611214302396748
PPIAL4D,645142,-0.05979366802572217
IFNA5,3442,0.06028787024108212
RP11-10J21.3,0,0.06355292898104294
GNAI2,2771,0.010602403601861633
MNDA,4332,0.3183041446302426
RP11-347C12.3,0,0.15296873586751214
RBM46,166863,0.9507561648121442
CLEC6A,93978,0.22692590313816277
FCGR2A,2212,0.10627227289744837
REV1,51455,0.24927691333048374
ECH1,1891,0.06129694183401991
ZNF491,126069,-0.021199326930675513
SEP15,0,-0.12866790503159545
LRRC24,441381,0.05081861739999593
C1orf109,54955,0.06834671767131813
GMFG,9535,0.16110582713818386
MAGEH1,28986,-0.12800583738810728
GMFB,2764,0.15400269964182056
AC068987.1,0,0.10669589860679318
APOBEC3G,60489,-0.18782300889913356
SLC7A2,6542,-0.009311918797756821
IQCH,64799,0.12431520943318336
FAM83G,644815,0.17352577601642244
CCNA2,890,0.032500006945531325
PSMC1,5700,-0.2155902025709436
TGIF1,7050,0.23146451305877955
C18orf21,83608,-0.036512049224495864
CD180,4064,-0.04637651446334937
TDRKH,11022,-0.04075799540720046
TXNDC15,79770,-0.1780313440458733
RP11-849F2.7,0,-0.09064249673373562
CTNNA3,29119,-0.031455793554839954
IPO5,3843,-0.054116694676843026
DYTN,391475,0.2520555916361022
C8B,732,-0.09166395815575383
CCL3L1,6349,0.2840853503145607
ANKRD33B,651746,-0.004726310713312941
DGKD,8527,-0.12258413036912727
TMPO,7112,0.03954458103523459
LY86,9450,-0.026496389682173466
LDOC1,23641,0.026219041574496588
MAD2L1,4085,0.05619955534000805
BHMT2,23743,0.09446113072360106
BAI1,575,-0.019015371074977975
TOMM70A,9868,0.028463314460192277
MRI1,84245,0.2730707137128833
ARAP1,116985,0.18164090491821405
DZIP1,22873,-0.08196807872288264
VDAC3,7419,0.07343617406109568
RBM42,79171,0.23425434801258965
MROH7-TTC4,0,0.015915404511584165
ZNF2,7549,-0.027657727147925117
ATP8B2,57198,0.004243406787804174
MMADHC,27249,0.13861887607849388
SIK3,23387,-0.1557039985974819
GOLIM4,27333,0.09332646901917066
GPR149,344758,0.3850874042929589
FLJ20306,0,0.25658167651536545
ZAR1L,646799,0.1969788792645297
TSHZ2,128553,0.003578795610320498
ADAM11,4185,-0.032205709104537426
SPCS2,9789,0.4418187591936882
SNX18,112574,-0.07161278151378529
KIF17,57576,0.13555723245909843
PARP11,57097,-0.1768621771801051
RAB42,115273,0.06405335653051161
ACP6,51205,0.33596502015910834
IL7,3574,0.1297791736360338
RBPMS2,348093,-0.07423785541884259
AGTR2,186,0.0909582487430798
PLA2G4D,283748,-0.054575240204746606
ANKRD20A4,441425,0.200290048351179
MTDH,92140,0.1838593120614729
MT-CYB,4519,-0.1150549151077925
TRIP6,7205,0.16632789957580024
NOTO,344022,-0.09776811246843387
CES1,1066,0.1297744037150529
CYSLTR1,10800,-0.12294527653734785
TBL1Y,90665,0.5096203584144988
SH3BGRL,6451,0.035010644314001194
TAF15,8148,-0.030279182111616967
NMU,10874,-0.08181275172507783
GSC2,2928,-0.03460871728564743
IL17REL,400935,0.03170099489318441
LCE2A,353139,0.0038969398824613855
AC079354.1,0,0.0288502571505394
NPIPA1,9284,0.24962984765782145
DNAJA3,9093,0.04930541784523647
TIAF1,9220,0.040543849564441736
KAT5,10524,0.27766346083389193
CPNE9,151835,-0.004924553000603432
KIAA0895,23366,0.25284996258285636
CHORDC1,26973,-0.04985145819560528
IL26,55801,0.04004559938119249
TLR10,81793,-0.06304580236790575
ELP3,55140,0.1922836277819916
SLC38A11,151258,-0.07602409065819282
RIOK1,83732,-0.23023020194908805
HIBCH,26275,0.2612283632647623
OGFOD1,55239,-0.13277370534755625
RRH,10692,0.20955293517641177
ALDOB,229,0.03681494174834453
CSNK1G2,1455,0.07834499216301818
ADIPOR2,79602,0.0878724151564802
GNA14,9630,0.12042704335093403
SYT14,255928,0.11824928505663687
CCDC68,80323,0.0663689935319684
ZNF564,163050,0.23810159149518695
ANKRD6,22881,0.23226502549584674
NDUFS3,4722,-0.16413809478794664
EFCAB4B,84766,-0.012404360146333338
DLGAP1,9229,0.15641602119033846
STRN,6801,-0.03152976074292963
SCARF2,91179,0.21553527549955104
C5orf22,55322,0.14975294800412198
PTPN2,5771,0.05437394041339576
FBXO45,200933,0.2461506983110501
TOP2B,7155,-0.18030805941901953
ZNF16,7564,0.28032481678288246
CYP2F1,1572,-0.03813469552548343
AMIGO1,57463,0.10068236846966083
SOX11,6664,0.1213635147172061
STX16-NPEPL1,0,0.4795821040436824
PPDPF,79144,0.052878158495007266
ESPN,83715,0.12098825633207536
LAPTM4A,9741,0.18840625294747487
KCNK3,3777,-0.013302239695354962
FABP7,2173,0.7223520813520464
PDE2A,5138,-0.016904119644041538
TTLL11,158135,0.10008467555440992
FBXO38,81545,-0.028947587133566634
ANKMY1,51281,0.30263455640649733
GTF2IRD1,9569,0.028903711451105058
BIRC6,57448,0.1734525761177298
EIF1AY,9086,0.557808128886817
SEC22A,26984,-0.10939003050996882
ZC3H15,55854,-0.03810124354515824
DHCR24,1718,0.21049797110935517
ZDHHC2,51201,-0.263438251880899
C1orf220,400798,0.15409071918306888
GLG1,2734,0.1948645910836068
CBR4,84869,0.29756641809683804
DKKL1,27120,0.17570946889390435
AK3,50808,0.0028613438054803098
CNPY3,10695,0.04236153299212015
RELT,84957,0.4231768057340474
HEATR2,54919,0.005545043161474996
TSTD2,158427,-0.10842150084992212
PRKX,5613,0.003892944070550162
PARD6A,50855,0.3926062493489214
ANKRD18B,441459,0.05133366274152977
GKN2,200504,0.04772720459219357
FAM89B,23625,-0.08223456895120329
RABL2B,11158,0.22538617802738536
PFN4,375189,0.14328864291623425
EPS8L3,79574,-0.04930302688743478
RPS6KL1,83694,0.0650925916575831
POTEE,445582,-0.07769840576243472
HDAC2,3066,0.013922643564656105
TMEM182,130827,0.1168940319624624
ARNT,405,-0.008079458380981605
OR5P2,120065,-0.09913751199630683
CHDH,55349,0.23892233900190363
PRRG4,79056,0.11751211874826606
UVRAG,7405,0.08175607425025429
C16orf96,342346,-0.03677380027506657
KCNQ4,9132,0.060572733116396826
SMIM8,57150,-0.005837930290197274
MFAP5,8076,-0.015692663381468755
DYNC2H1,79659,0.2224969917241013
THAP9,79725,0.04297019347824915
C17orf53,78995,-0.22641617184081256
IST1,9798,-0.034226409896152415
SLC39A10,57181,0.13796278099729392
PIRT,644139,-0.009513315534470374
ZNF675,171392,0.1244128758646664
MAPK1,5594,0.01134176608297259
TSR2,90121,0.2921028462391956
RIMBP2,23504,-0.09109849906716919
AL136218.1,0,-0.13858944596627634
BUB1B,701,0.11682107395538593
CHST10,9486,0.15733632393990787
GABRR1,2569,0.2300713361226015
LCAT,3931,0.2975903617553544
AKR1C3,8644,-0.025087413128169783
IP6K3,117283,0.17146525913986688
DAPK3,1613,0.274106536062856
ZP2,7783,-0.04237811012889646
SETDB1,9869,0.09995457783997283
GRIA2,2891,0.08441432053547587
NODAL,4838,-0.0691664339251914
SLC6A9,6536,0.2413078030699632
OR51B4,79339,-0.18325310634183958
ZNF17,7565,0.29675019999574875
GPR35,2859,-0.008350135942466006
UCMA,221044,-0.020408163265306124
C20orf112,140688,-0.1867370508438411
AEBP2,121536,0.40619622960671464
ABTB2,25841,-0.10218408526544187
EXOC3L4,91828,0.06654447496075916
RP11-77K12.7,0,0.26926506271314643
CLEC11A,6320,0.24649827849448072
IL20RB,53833,0.043553702391604984
UBQLN4,56893,0.0084441813796136
LHCGR,3973,0.008387145185867159
ZFYVE9,9372,0.19628989136017166
AGPAT4,56895,0.13015279171100744
PSME1,5720,-0.12589263268600004
SCAMP1,9522,0.17867479663399172
TRAM2,9697,-0.038268956155720193
PPP2R1B,5519,-0.08273418812530568
INO80E,283899,0.29744577880404816
ATG5,9474,-0.08986175006960015
H2AFV,94239,0.1389362996146769
ZNF232,7775,0.525834826491391
SLC12A3,6559,-0.018751637227286694
KARS,3735,0.2413004925297828
NAP1L2,4674,0.18775076294105017
ZNF440,126070,0.039896931432205386
C1D,10438,0.22232520636945324
GFER,2671,0.32416778405212243
ANKRD2,26287,-0.02278991100834605
NFIB,4781,-0.08699678933876157
SGCZ,137868,-0.03720575956980854
SRC,6714,0.09360602676361951
EIF4EBP2,1979,-0.005929016292134409
EPHA7,2045,0.08301303283047146
BANK1,55024,0.03978775880259326
SGSM3,27352,0.07929633513186805
TMEM26,219623,-0.04670048462325418
RNASEL,6041,0.30589451145954544
FAM84A,151354,0.04127373923423616
TOMM40L,84134,0.12570410742264718
CEP128,145508,0.04776018040738049
RPP21,79897,0.13130903205644173
CCDC104,112942,0.135145865992284
SLC4A7,9497,0.12640530665986294
SFMBT2,57713,-0.06181988877456204
DHRS7C,201140,-0.043392543562689595
IGSF1,3547,-0.18592507505882666
FAM189B,10712,0.0688763277913596
SLC36A1,206358,0.23810849642153023
CHI3L2,1117,0.2810044788499003
TMEM8A,58986,0.2512100237027026
TEX36,387718,-0.0874518796203104
SLC30A1,7779,0.032448639156163354
DPYSL2,1808,-0.20627241549873496
FNDC1,84624,0.2721196466495449
LGALS2,3957,0.0715519454308775
AGXT,189,-0.039946144771295
ZNF354A,6940,0.3304194065924634
ESM1,11082,0.13449103791754777
FAM179B,23116,-0.040067003614262575
SPAG4,6676,-0.13605923931539876
HRH2,3274,0.2042042692490515
C3orf58,205428,0.09529113830620445
ABT1,29777,-0.04195016539510551
TNC,3371,0.1088639291105659
ARNTL,406,0.12885438544055072
KCTD15,79047,0.22426494038860467
CARD11,84433,0.08021011251025914
CIDEB,27141,0.14078204210027115
POGLUT1,56983,0.07065718116227772
ETS2,2114,0.12289442374499496
SIVA1,10572,0.1295397106853977
ITFG2,55846,0.023716819419089895
C8orf4,56892,0.2665357070040476
C3orf27,23434,-0.044782181505507446
DLL1,28514,0.12917933868040882
PDDC1,347862,0.20814744887338515
CXADR,1525,0.07328384660918652
MIB1,57534,-0.025577672838540885
ELOVL6,79071,0.33985387633890546
ADAMTS10,81794,0.3823686518128009
RHOF,54509,-0.03791200819983272
APLP1,333,-0.020775698894785186
MOSPD2,158747,0.23554500129515143
AMN1,196394,0.09379138857794629
KRTAP16-1,100505753,-0.06283954364939737
SELENBP1,8991,-0.034057958348187
RSPH9,221421,0.23420791670630803
TNFRSF11B,4982,-0.08243303767222318
PIGU,128869,0.06542413943775927
PRELID1,27166,-0.15487452600295315
NDUFV2,4729,0.14705204932465332
PLAC8L1,153770,0.3247261417183267
ZNF649,65251,-0.1308869480672814
C1orf105,92346,-0.08598326527677204
AC079341.1,0,0.2922073470706871
NOSTRIN,115677,0.2425135510865354
WDR91,29062,0.14787527866302005
XKR8,55113,-0.05462016255845202
RCC1,1104,0.14702086308874734
FAM26F,441168,0.05875141822077685
CERK,64781,0.02995243109630373
TMEM242,729515,0.21066739763651543
MANF,7873,0.004271323087252095
IFNAR1,3454,0.26070569622185324
PPEF2,5470,-0.10923568897334436
ANXA1,301,-0.11283580803134999
EMC4,51234,-0.1962700494773363
ABCA6,23460,0.18559001063712782
RAB7L1,8934,0.2384852850574899
CDKN1C,1028,0.25589715410268304
KIAA0922,23240,-0.1393459047600945
C15orf54,400360,0.032815920495825546
C19orf59,199675,0.15261507462869914
UTS2B,257313,-0.1218531433331222
AKAP11,11215,0.17106497866304
NMRK1,54981,-0.08406674413130898
MRPS5,64969,0.0570512014843775
CTD-2535L24.2,0,-0.023362878700904633
GDPD3,79153,-0.08575242940643545
FOLR4,390243,-0.1177442572142301
CAMP,820,-0.08333211740336828
SMARCD2,6603,-0.05956688288076991
SMARCAL1,50485,-0.1339299586447376
SLC39A12,221074,0.2659337262218729
HELZ2,85441,0.45657348242387585
CD1E,913,0.13171630323392078
ACR,49,0.18781276849983441
SLC12A7,10723,0.02793571152633588
SYCE3,644186,0.05058336896079465
C12orf49,79794,0.20403304942841782
HOOK3,84376,0.13350272938764252
PLEKHA5,54477,0.0322056128433446
PRMT8,56341,0.40414075686710127
SLC35D2,11046,0.11736565146142683
MCAM,4162,0.02155355049812873
EIF2B1,1967,0.0062559636926285064
LRRC8C,84230,0.006419012161382657
DEFB4A,1673,0.1675250514770325
S100A1,6271,0.28317568077629296
IRF8,3394,0.03439873235722757
MX2,4600,0.2640625918397015
CKLF,51192,0.14634444455838552
FANCB,2187,-0.01965438858548664
SPP1,6696,0.3432078058118212
GPR50,9248,0.13996979177771943
TCHHL1,126637,-0.07317030775274692
CERS5,91012,-0.04509170954715183
MKI67,4288,0.010730305182684502
IRAK1,3654,-0.04187214336384311
DDX59,83479,0.19695854121493067
MGARP,84709,-0.05316796266946198
IL2RA,3559,-0.000522473765009674
CELF4,56853,-0.048823213999208886
MARCH3,115123,-0.019920826199980833
ARCN1,372,0.21956929851742718
CD55,1604,0.2136604081229977
TMEM63C,57156,0.44100190543174106
SSSCA1,10534,0.2028681202363959
ILKAP,80895,0.2033271321035663
ATF3,467,0.31094955512364275
TDRD12,91646,0.0072358291742063985
CDH15,1013,0.14544825213612653
NDUFA12,55967,-0.14728172693581665
MARK4,57787,-0.08883153084014518
DEFB132,400830,-0.04548355425068408
KIAA1107,23285,-0.026113482825351465
KLHL26,55295,0.10988437356780847
DIO3,1735,-0.01883259924101608
TSFM,10102,0.047496412722304066
TBC1D23,55773,-0.0391068150202786
DHFR,1719,0.18089821672732836
MAPK10,5602,0.10636472186299975
CNIH3,149111,-0.01791970235545738
PTP4A3,11156,0.05930210161054757
AC115618.1,0,0.2897487818644877
MBTPS2,51360,0.05848367882490024
PUS1,80324,-0.08983777247465428
DDX27,55661,-0.21623129519911374
B3GNT1,11041,-0.056808655952681586
C4A,720,0.0919231693762844
C17orf103,256302,-0.05408934278082891
PIK3R4,30849,0.17175585456445924
NOMO3,408050,0.5121559640481721
EIF4A2,1974,0.1534248208180989
NMRK2,27231,0.024706138824263035
BMPR2,659,0.4254455598705632
AC090186.1,0,0.023641713668212973
RNF32,140545,0.3179916262133565
SMIM13,221710,0.20666074644566831
NIPAL4,348938,-0.06145220541897889
EPHX4,253152,-0.03168169022591206
LNX2,222484,-0.0032251314736847086
PCP4L1,654790,-0.0033298114491468397
CTD-2583A14.10,0,-0.21214541826355204
SMCHD1,23347,0.004259980677977952
GADL1,339896,-0.09201098140272426
ACAT2,39,0.2847992822739629
ULBP3,79465,0.23357138473840494
AGPAT3,56894,-0.1650810641162596
ABCC1,4363,0.07487973136604972
CRLF3,51379,-0.005606874450060147
ZFP14,57677,0.19194913156609184
VPS41,27072,0.05235076850730962
CHCHD2,51142,0.08082828648616225
ANO5,203859,0.07053302391569594
RALBP1,10928,-0.12897616619172092
SLC25A41,284427,0.521235124637071
OR51B5,282763,-0.06974524845107744
HERPUD2,64224,0.21879269597185033
ZNF596,169270,0.1610350593870679
NFU1,27247,-0.1503768340709693
MRPL54,116541,-0.0820398987618251
DMXL1,1657,0.21916212778946714
ZBTB8A,653121,0.3254854759779833
NFXL1,152518,0.19966261095067434
CTU2,348180,0.06712074117674231
NPDC1,56654,0.106685426067417
PPP3R1,5534,0.12497603528112076
TAS2R46,259292,-0.14267147294456867
FAT2,2196,0.10088606300404543
AMMECR1L,83607,0.12793228739321344
ZFHX2,85446,0.2295729279715786
FAM153A,285596,0.17922367625923302
RSRC1,51319,0.04418578594317969
RBMY1A1,5940,-0.052126259535230486
UBE2J1,51465,-0.027915684005754313
PIP5K1A,8394,0.06585794133016915
PSMA5,5686,-0.023139432564938923
ZNF257,113835,0.2107163014711705
CXorf56,63932,0.26328514074068166
RRP15,51018,0.0006845489980824293
IL32,9235,-0.09833873859443562
OPCML,4978,-0.05658100806820213
MYOD1,4654,-0.05566694079119415
RPS20,6224,-0.007755670863229452
ZBED6,100381270,-0.09869882356962799
RAD51D,5892,-0.04178816965746111
ZNF71,58491,-0.07622923186020746
KLF17,128209,0.11997021386021334
C18orf54,162681,-0.1164958635424487
ADAMTS19,171019,-0.06381800948940144
RPUSD4,84881,-0.00635504906371244
MRPS7,51081,-0.16048057033546237
PRRC2B,84726,-0.2279371280866664
LGR4,55366,0.23262680370098981
ANO7,50636,-0.056022562909289954
MINOS1,440574,0.120218438466998
CCDC107,203260,0.3016665188826453
C10orf112,0,0.11117217597564544
DPP9,91039,0.1667049669174783
AC023590.1,0,-0.09556503066599974
NMBR,4829,-0.09064051744193602
PHOX2B,8929,-0.0418618960070549
GPATCH8,23131,-0.08125937604984443
MRPS31,10240,0.23590370504658106
NLGN3,54413,-0.16967699300382702
TNFSF13,8741,0.04622905749456553
PLA2G7,7941,0.028779962142864456
ZNF503,84858,0.11104115154159061
RPS17,6218,0.00010052328329236693
ZMIZ2,83637,0.19973033310590918
HSDL2,84263,0.2670441146537907
PSPN,5623,0.019613941234675594
NKX6-1,4825,-0.11360767741797492
ST3GAL2,6483,-0.05104621471788732
TBC1D4,9882,0.008855159289322723
ADAR,103,0.11215281136449298
MTPN,136319,0.13452674295170403
RHBDD3,25807,0.14136911478983438
MTR,4548,0.02787700593925072
CHRM2,1129,-0.12453323273099272
LAMTOR3,8649,0.23442045335438344
RPS10-NUDT3,100529239,-0.1700072292366097
LSMEM1,286006,-0.037116236519975844
TULP4,56995,-0.13356760840349946
LENG8,114823,0.37501350450163895
MYH4,4622,-0.0749796370606022
PFDN4,5203,0.16595340994511734
LPAR2,9170,0.0849957887953362
MRPS16,51021,0.057447173308654745
SSX7,280658,-0.060125948275058384
C1orf43,25912,-0.021562606368132536
CASP3,836,0.0860764682144106
ARSA,410,0.34465424580066045
RP11-998D10.1,0,-0.046610874225594415
FAM102B,284611,-0.020182945920647566
ENPP2,5168,-0.059649575611644676
