Gene_Hugo_Symbol,Entrez_Gene_Id,r_value_spearman
TRIM15,89870,-0.48925767629736805
RP11-345J4.3,0,-0.4582283720166806
TK1,7083,-0.4334310306851501
ZFYVE20,64145,-0.42026235058555356
CNNM4,26504,-0.4157678571390909
NRF1,4899,-0.4107156162282275
SPTAN1,6709,-0.4040641813989239
R3HDML,140902,-0.40154279046680363
VWA1,64856,-0.38838192209788197
C1orf105,92346,-0.38809363344292513
KLHL14,57565,-0.38712097299314147
NUDT8,254552,-0.38397618668256545
RP11-234B24.6,0,-0.38250338367866127
ACER1,125981,-0.382371509230135
FXYD3,5349,-0.38146236053739774
KRT23,25984,-0.37716096811371497
VIMP,55829,-0.37466662428624053
GLRX3,10539,-0.3736034593419159
FBXL16,146330,-0.3719534158834377
S100A6,6277,-0.3711753793582092
VPRBP,9730,-0.3707921872243788
BAIAP2L1,55971,-0.3687219401872843
BTBD3,22903,-0.36860560107846796
KIF3C,3797,-0.36754640869367394
PTPRJ,5795,-0.3672846986471217
BLVRB,645,-0.3613285978241371
MMP15,4324,-0.3561857666992818
MTSS1L,92154,-0.35383544531276034
ZNF287,57336,-0.35284228738050677
MARK2,2011,-0.35229103811395046
BRPF1,7862,-0.35125268049554687
FKSG48,0,-0.35019260065585883
GH1,2688,-0.350043731617433
GRM8,2918,-0.34806205273521923
SLC4A2,6522,-0.3472599405316874
DNTT,1791,-0.34154471156724775
TTC22,55001,-0.34115471483708876
SNX31,169166,-0.34060007088060135
SMPD1,6609,-0.3393320769725373
SLC8A1,6546,-0.33756815001853935
NLK,51701,-0.33692885227284924
PLBD1,79887,-0.3364073041647701
KIAA0319L,79932,-0.33577554118602304
SMARCC2,6601,-0.33458258499640237
DAD1,1603,-0.3342464126868472
ASNS,440,-0.3340378614934355
DIRAS3,9077,-0.33396575797935457
PNO1,56902,-0.3335174869336609
KCTD19,146212,-0.3328528493469977
B3GNT8,374907,-0.33006701008935935
HTT,3064,-0.32793619535251123
HDX,139324,-0.32580816202490376
IL34,146433,-0.3255445430374952
R3HDM2,22864,-0.3233888231630219
TRAK1,22906,-0.3216714658707709
PTBP1,5725,-0.3209867721713734
PLEKHH1,57475,-0.32028623608159895
FYN,2534,-0.31716104467925266
TSPYL4,23270,-0.31665906280397343
PRKCG,5582,-0.3160120494296169
ST6GALNAC4,27090,-0.3159513990120193
ZFHX3,463,-0.3150184923999659
ESRP2,80004,-0.31461510975036194
HIST1H2AM,8329,-0.3145310062609486
SKAP1,8631,-0.31294428434197885
SPECC1,92521,-0.3118274494260312
PPAPDC1B,84513,-0.3112765724379488
ACKR4,51554,-0.3102578882701764
RNASEH1,246243,-0.3099853582783109
HSCB,150274,-0.30726364902418773
IYD,389434,-0.30682175143348656
CHCHD7,79145,-0.30606460989744494
ZNF713,349075,-0.3056195997145106
LASP1,3927,-0.3051792151089466
GPR22,2845,-0.30494067867493063
UBTD1,80019,-0.3047550463914144
RFPL4B,442247,-0.3039712957770797
SCPEP1,59342,-0.30275009085437443
IFNAR2,3455,-0.3023540841443201
CIB1,10519,-0.30202780201682605
BLNK,29760,-0.3003890950315213
EPHA5,2044,-0.3000868628790339
HIPK2,28996,-0.2997790829309157
ARG1,383,-0.299598776126719
POTEJ,653269,-0.2987321830653691
CMC2,56942,-0.2986332957890735
RPE65,6121,-0.2985788023448731
KRT33B,3884,-0.2970763095828566
PSMA1,5682,-0.2970251949703102
LIMD1,8994,-0.29694553974268983
HSP90AA1,3320,-0.2969260340308912
MSLN,10232,-0.2964439223000711
RQCD1,9125,-0.2959012091674235
ZNF878,729747,-0.29563463511975946
FAM83H,286077,-0.295454001793685
MMP3,4314,-0.2946885741900075
ACOX2,8309,-0.2939170570574615
LDLRAD3,143458,-0.29383226189973455
VAT1,10493,-0.2934210863521127
RERE,473,-0.2930309757101503
GPR182,11318,-0.29294652062650417
CTB-186H2.3,0,-0.29291829956068965
SPATA2,9825,-0.29263253990042437
CDH18,1016,-0.2923308292235071
RGSL1,353299,-0.2923296137146678
EIF4EBP1,1978,-0.2920509139315486
NPPB,4879,-0.29180430754927134
AAGAB,79719,-0.2917947786386673
KRTAP3-1,83896,-0.290906292986055
NEK4,6787,-0.29020635064007627
PPEF1,5475,-0.2900917343067096
FKBP1A,2280,-0.2892284123041338
FAM222B,55731,-0.28917834234877277
TIMM8A,1678,-0.28906719205016246
CEACAM5,1048,-0.2889801414698171
TRIM62,55223,-0.28835343827588034
CKAP5,9793,-0.2882740098148649
VTN,7448,-0.2878034724552891
PCDH19,57526,-0.2877488779474751
KBTBD13,390594,-0.2871436238158207
EMX2,2018,-0.28676498401499806
ZDHHC2,51201,-0.28632150530147826
EP400,57634,-0.2857245823014295
OST4,100128731,-0.28510004966929575
RPRD1B,58490,-0.2840775445635471
ADORA2B,136,-0.28389932797408135
EPPK1,83481,-0.28266090330394844
ENPP3,5169,-0.2824614615092564
ATP1B3,483,-0.2823591569463827
ABHD3,171586,-0.28223540634325706
CIB3,117286,-0.28155983237359183
CSTA,1475,-0.2812049789724257
MAB21L1,4081,-0.28114523784853634
SERPINI1,5274,-0.2807261902282032
HIST2H2BE,8349,-0.27983381037590077
KCNN1,3780,-0.2797876635991664
RAB33A,9363,-0.27947073946054685
MRPL46,26589,-0.27840226769884696
TERF2,7014,-0.2780994038652216
TGOLN2,10618,-0.2775028827183712
NOL4,8715,-0.276913532088975
IMP3,55272,-0.27690496781012774
PINK1,65018,-0.2766632293604603
SEC61B,10952,-0.2765686569892982
NTF3,4908,-0.2763183174832028
ASB5,140458,-0.2762619347977839
ECE2,9718,-0.2758695263084856
ZNF621,285268,-0.2754587389020807
BTBD9,114781,-0.2739347727573534
GRIK3,2899,-0.2733944239918733
SLC28A3,64078,-0.273364710717718
SLC46A2,57864,-0.2732686584651819
ALDH3A2,224,-0.27323628683994183
RPP40,10799,-0.27298050139275765
GPR107,57720,-0.27251979100670126
IDH3A,3419,-0.2724804353851904
PIAS4,51588,-0.2724367541161128
RTP3,83597,-0.27229497071039666
C16orf47,388289,-0.2722771277866323
MARS,4141,-0.27200653971543237
MYO3A,53904,-0.2718949083290702
RNASEK,440400,-0.2717247852011297
IFNA13,3447,-0.27130369839312174
SOBP,55084,-0.27090638484196733
TAF4,6874,-0.269773031313731
WIPF2,147179,-0.269355497447337
MCOLN2,255231,-0.2692492447219234
DCUN1D5,84259,-0.26860150374597097
PDZK1IP1,10158,-0.26815737495718245
SLC9A1,6548,-0.2678738701797727
LYPD5,284348,-0.2676015755655525
EMC7,56851,-0.26752240586027254
AC129492.6,0,-0.26705091381620105
SIT1,27240,-0.2666346500948801
SLCO5A1,81796,-0.2662696343858753
GMEB1,10691,-0.2656257534194426
ZNF445,353274,-0.26485707911576745
RNF138,51444,-0.26383050650442497
ANXA2,302,-0.26376846471739307
CTDSPL,10217,-0.2635826487966566
FOXD4L2,349334,-0.2632309855732822
SSH3,54961,-0.26199227150139714
BTBD16,118663,-0.26149301172709927
KRT40,125115,-0.26087576406205254
PIK3C3,5289,-0.26080691500678643
CLP1,10978,-0.26065861584299016
GPR179,440435,-0.26022624685957196
TMED3,23423,-0.2598270254465071
CCDC178,374864,-0.2597354267184949
ACRV1,56,-0.2595781652614124
BDKRB1,623,-0.25914897704351164
GRPR,2925,-0.25802267516322547
SCIN,85477,-0.25793593652180447
ATP11A,23250,-0.2578956235421335
PPY,5539,-0.25786706458450825
STAR,6770,-0.25784683729274976
FOXD3,27022,-0.2577846015191163
AC069547.2,0,-0.2570426668763318
XPO7,23039,-0.25688340863878883
C4orf50,389197,-0.25679499095714076
WDR61,80349,-0.25654151019031474
SIX1,6495,-0.2564829043411448
PTCD1,26024,-0.2563228054059857
RP11-468E2.6,0,-0.2561989205474848
GADL1,339896,-0.2554556000111061
